Incident Number,Incident Types,Reported Date,Nearest Populated Centre,Province (E),Company,Status,Latitude,Longitude,Approximate Volume Released (m³),Substance (E),Release Type,Significant,Year,Occurrence Date and Time,Discovered Date and Time,Detailed what happened,What happened category,Detailed why it happened,Why it happened category,Duration of interruption of pipeline operations,Pipeline or Facility Type,Activity being performed at time of incident,How the incident was discovered,Closed Date,Pipeline or facility equipment involved,Rupture (E),Incident type,Released substance type,Released volume (m3),Pipe body release,Residual effects on the environment,Source of Explosion,Source of Fire,Activity at time of fatality,Number of fatalities,Type of Injury,Number of individuals injured,Workdays lost,Work restricted by injury,Conditions that resulted in the operation beyond  limits,Conditions that resulted in adverse effects on the environment,Number of people evacuated,Regulation,Pipeline Name,Pipeline outside diameter (NPS),Pipeline length (km),Substance carried,Facility Name,Facility Type,Facility latitude,Facility longitude,Country,Affects Company Property,Off Company Property,Affects Pipeline right-of-way,Affects off Pipeline right-of-way,Land Use,Population Density,Kilometre post,Emergency Level,Investigation Type,Was NEB Staff Deployed,Related NEB event number,Equipment or component involved,Design standard,Nominal pipe size,Material,Material grade,Schedule,Design wall thickness (mm),Custom design wall thickness (mm),Actual wall thickness (mm),Licensed maximum operating pressure (kPa),Restricted operating pressure (kPa),Actual operating pressure at time of failure (kPa),Designed depth of cover (m),Actual depth of cover (m),Year of manufacture,Year of installation,Year when put into service,Most recent cathodic protection reading at incident site (mV vs. Cu/CuSO4),Weld type ,Seam type,Seam joining method,Seam clock position,Coating location,Coating type,Coating condition,Application method,Year when the coating was applied,Insulation installed,Repair type,Repair date,Equipment or component has never been inspected,Most recent inspection date for the failed equipment or component,Type of most recent inspection,Most recent inspection part of the routine inspection program,No maintenance done on this equipment or component,Date of the most recent maintenance work for the failed equipment or component,Most recent maintenance Type,Most recent maintenance work part of the routine maintenance program
INC2010-122,Release of Substance,11/2/2010,Kendal,Saskatchewan,TransCanada PipeLines Limited,Closed,50.33116111,-103.6093333,Not Provided,Natural Gas - Sweet,Gas,No,2010,11/1/2010 12:00,11/1/2010 4:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,,Operation,Landowner,3/17/2011,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Ball, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-121,Release of Substance,11/1/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83012222,-118.6471944,Not Provided,Natural Gas - Sweet,Gas,No,2010,10/30/2010 4:00,10/30/2010 4:00,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Improper loading or rate of use",Maintenance,,,Operation,Employee / Contractor (Onsite),3/9/2011,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,NGTL - Gold Creek Compressor Station,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Pipe",,NPS 1/2,Stainless Steel,,,,,,0,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-119,Release of Substance,10/28/2010,Burstall,Saskatchewan,TransCanada PipeLines Limited,Closed,50.67645278,-109.9787222,11000,Natural Gas - Sweet,Gas,No,2010,10/28/2010 9:00,10/28/2010 9:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate tools and equipment, Inadequate adjustment or repair or maintenance","Engineering and Planning, Tools and Equipment",,,Operation,Employee / Contractor (Onsite),6/6/2011,Yes,No,Release of Substance,Natural Gas - Sweet,11000,No,No,,,,,,,,,,,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-118,Fire,10/27/2010,Kenora,Ontario,TransCanada PipeLines Limited,Closed,49.79171111,-94.4943138,Not Applicable,Not Applicable,Not Applicable,No,2010,10/26/2010 10:30,10/26/2010 10:30,"Substandard Conditions, Weather Related, Heavy rains or floods;Substandard Acts, Failure to check or monitor;Damage or deterioration mechanism, Electrical Power System Failure, Arc Flash","Equipment Failure, External Interference, Incorrect Operation","Job or system factors, Excessive wear and tear, Improper extension of service life;Job or system factors, Excessive wear and tear, Inadequate maintenance;External Interference, Natural or Environmental Forces","Maintenance, Natural or Environmental Forces",,,Operation,Employee / Contractor (Onsite),7/11/2011,Yes,No,Fire,,,,No,,Equipment & Electrical,,,,,,,,,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-116,Release of Substance,10/21/2010,North Bay,Ontario,TransCanada PipeLines Limited,Closed,46.43231389,-79.4676583,Not Provided,Natural Gas - Sweet,Gas,No,2010,,10/21/2010 12:15,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,Gathering,Operation,Employee / Contractor (Onsite),7/23/2012,No,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,TCPL -  Widdifield Sales Meter Station,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Piping",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-114,Release of Substance,10/15/2010,Haldimand,Ontario,Enbridge Pipelines Inc.,Closed,42.83421028,-80.0417111,17.5,Crude Oil - Sweet,Liquid,No,2010,,10/15/2010 11:00,"Substandard Acts, Failure to follow procedure or policy or practice",Incorrect Operation,"Personal factors, Lack of skill, Infrequent performance",Human Factors,,,Operation,Employee / Contractor (Onsite),3/17/2011,No,No,Release of Substance,Crude Oil - Sweet,17.5,No,No,,,,,,,,,,,0,OPR,Nanticoke Refinery,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,REM-0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-113,"Explosion, Fire",10/14/2010,Fort St. John,British Columbia,"Westcoast Energy Inc., carrying on business as Spectra Energy Transmission",Closed,56.63939722,-121.6420556,Not Applicable,Not Applicable,Not Applicable,No,2010,,10/14/2010 12:00,"Substandard Conditions, Fire and explosion hazards",External Interference,"Job or system factors, Inadequate tools and equipment, Inadequate standards or specifications",Tools and Equipment,,,Maintenance,Employee / Contractor (Onsite),9/15/2011,Yes,No,"Explosion, Fire",,,,No,Under Investigation or Unknown,Under Investigation or Unknown,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Pigging, Launching, Fitting",,NPS 20,Carbon Steel,,,,,,0,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-112,Release of Substance,10/7/2010,Monchy,Saskatchewan,Foothills Pipe Lines (Saskatchewan) Ltd.,Closed,50.53819444,-107.3048333,Not Provided,Fuel Gas,Gas,No,2010,10/6/2010 12:00,10/6/2010 4:00,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Personal factors, Lack of skill, Infrequent performance",Human Factors,,,Operation,Employee / Contractor (Onsite),9/29/2011,Yes,No,Release of Substance,Fuel Gas,0,No,No,,,,,,,,,,,0,OPR,Foothills - Monchy Compressor Stn,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Fitting",,,,,,,,,0,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-111,Release of Substance,10/7/2010,Fox Creek,Alberta,NOVA Gas Transmission Ltd.,Closed,54.0923,-116.62298,Not Provided,Natural Gas - Sweet,Gas,No,2010,,10/4/2010 10:00,"Damage or deterioration mechanism, Construction, Defective Other Joint",Defect and Deterioration,"Job or system factors, Excessive wear and tear, Improper extension of service life",Maintenance,,,Operation,Employee / Contractor (Onsite),9/28/2011,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,NGTL - Kaybob South #3 Meter Station,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Valve",,,,,,,,,0,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-110,Release of Substance,10/6/2010,North Bay,Ontario,TransCanada PipeLines Limited,Closed,46.37985,-79.46885,Not Provided,Natural Gas - Sweet,Gas,No,2010,,9/30/2010 4:00,"Damage or deterioration mechanism, Cracking, Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly",Maintenance,,,Operation,Employee / Contractor (Onsite),11/9/2012,Yes,No,Release of Substance,Natural Gas - Sweet,,No,No,,,,,,,,,,,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Grinding,10/5/2010,No,,,No,No,10/5/2010,Repair,No
INC2010-107,Release of Substance,10/1/2010,Piapot,Saskatchewan,Foothills Pipe Lines Ltd.,Closed,49.98,-109.12,Not Provided,Natural Gas - Sweet,Gas,No,2010,,9/30/2010 1:00,"Damage or deterioration mechanism, Construction, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,Transmission,Operation,Employee / Contractor (Onsite),9/18/2012,No,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,Foothills - Piapot Saskatchewan Compressor Stn,,,,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Pipe",,NPS 1/2,,,80,,,,0,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-106,Release of Substance,9/30/2010,Geraldton,Ontario,TransCanada PipeLines Limited,Closed,49.73149,-87.06539,Not Provided,Natural Gas - Sweet,Gas,No,2010,,9/30/2010 7:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate reparative, Examination of units",Maintenance,,Transmission,Operation,Employee / Contractor (Onsite),2/13/2013,No,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,LINE 100-3,"1066.80000000, 762.00000000, 863.60000000, 914.40000000",2681.81132,Natural Gas,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units,Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Pressure relief, Other (please explain)",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-105,Release of Substance,9/29/2010,Spirit River,Alberta,NOVA Gas Transmission Ltd.,Closed,55.77705,-119.36823,Not Provided,Natural Gas - Sweet,Gas,No,2010,,9/28/2010 3:20,"Damage or deterioration mechanism, Cracking, Corrosion Fatigue",Corrosion and Cracking,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,,,Operation,Employee / Contractor (Onsite),11/9/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units,Kilometer Post,Level I,Standard Review - 168 days,No,REM-0108,"Pipeline, Pipe, Body",,,,,,,,,,,,,,,,,,,,,,External,Polyethylene Tape Wrap,Disbonded,Field Applied,,No,Replacement,10/7/2010,No,,,No,No,10/7/2010,Replacement,No
INC2010-104,Release of Substance,9/23/2010,Enchant,Alberta,NOVA Gas Transmission Ltd.,Closed,50.04984,-112.53824,Not Provided,Natural Gas - Sweet,Gas,No,2010,9/22/2010 12:00,9/23/2010 12:00,"Damage or deterioration mechanism, Construction, Defective Circumferential Weld",Defect and Deterioration,"Personal factors, Lack of skill, Infrequent performance;External Interference, Natural or Environmental Forces","Human Factors, Natural or Environmental Forces",,,Operation,Employee / Contractor (Onsite),8/26/2016,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Legal Subdivision 2-4-13-19W4,Level I,Standard Review - 168 days,No,REM-0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-103,Release of Substance,9/22/2010,Saint George,New Brunswick,Maritimes & Northeast Pipeline Management Ltd.,Closed,45.129046,-66.831379,14.2,Natural Gas - Sweet,Gas,No,2010,9/22/2010 11:15,9/22/2010 11:15,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,,Operation,Employee / Contractor (Onsite),9/11/2012,Yes,No,Release of Substance,Natural Gas - Sweet,14.2,No,No,,,,,,,,,,,0,OPR,Mainline,"762.00000000, 863.60000000",574.8807991,Natural Gas,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Fitting",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-102,Operation Beyond Design Limits,9/21/2010,Edmonton,Alberta,Enbridge Pipelines Inc.,Closed,53.54740278,-113.3556944,Not Applicable,Not Applicable,Not Applicable,No,2010,9/20/2010 7:38,9/20/2010 7:38,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Personal factors, Lack of knowledge, Lack of situational awareness",Human Factors,,,Operation,Employee / Contractor (Onsite),2/13/2013,Yes,No,Operation Beyond Design Limits,,,,No,,,,,,,,,Over Pressure,,0,OPR,Line 4,"1219.00000000, 864.00000000, 914.00000000",1248.909872,Crude Oil,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,"INC2009-149, INC2009-150, INC2009-151, INC2009-152, INC2010-167, INC2010-168, INC2010-169, INC2010-170, INC2010-171, INC2010-172, INC2010-173, INC2010-174, INC2010-175, INC2010-176, INC2010-177",,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-101,Release of Substance,9/20/2010,Alida,Saskatchewan,Enbridge Pipelines Inc.,Closed,49.42185,-101.87015,Not Provided,Natural Gas - Sweet,Gas,No,2010,9/19/2010 11:30,9/19/2010 11:30,"Substandard Acts, Failure to identify hazard or risk;Substandard Conditions, Congestion or restricted action;Substandard Conditions, Inadequate instructions or procedures;Substandard Conditions, Inadequate information or data;Substandard Conditions, Inadequate preparation or planning;Substandard Conditions, Inadequate support or assistance","External Interference, Incorrect Operation","Job or system factors, Inadequate leadership and/or supervision, Inadequate work planning or programming;Job or system factors, Inadequate leadership and/or supervision, Inadequate instructions, orientation and/or training;Job or system factors, Inadequate leadership and/or supervision, Inadequate identification and evaluation of loss exposures;Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate communications, Inadequate communication between different organizations","Engineering and Planning, Failure in communication, Inadequate Supervision",,,Construction,Employee / Contractor (Onsite),7/11/2011,No,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,Alida Terminal,,,,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-098,Release of Substance,9/11/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,57.18167,-118.19522,Not Provided,Natural Gas - Sweet,Gas,No,2010,9/10/2010 12:00,9/10/2010 4:00,"Damage or deterioration mechanism, Other Causes, Control System Malfunction",Equipment Failure,"Job or system factors, Inadequate work standards, Inadequate development of standards, Procedures or practices or rules",Standards and Procedures,,,Operation,Employee / Contractor (Onsite),11/9/2012,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Pipeline, Flange, Bolt;Pipeline, Valve, Plug, Seal/Packing;Pipeline, Valve, Plug, Flange, Bolt",,,,,,,,,,,,,,,,,,,,,,,,,,,No,Rebuilt,11/17/2010,No,,,No,No,11/17/2010,Repair,No
INC2010-097,Release of Substance,9/8/2010,Whitecourt,Alberta,Alliance Pipeline Ltd.,Closed,54.31015,-115.68078,Not Provided,Natural Gas - Sweet,Gas,No,2010,9/2/2010 3:00,9/2/2010 3:00,"Damage or deterioration mechanism, Construction, Defective Other Joint;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Defect and Deterioration, Equipment Failure","Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,,,Operation,Employee / Contractor (Onsite),1/6/2011,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,Alliance - Carson Creek Compressor Station,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-096,Release of Substance,9/7/2010,Carstairs,Alberta,NOVA Gas Transmission Ltd.,Closed,51.50897,-113.86985,3,Natural Gas - Sweet,Gas,No,2010,9/6/2010 12:20,9/6/2010 12:20,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,,Operation,Employee / Contractor (Onsite),9/5/2014,Yes,No,Release of Substance,Natural Gas - Sweet,3,No,No,,,,,,,,,,,0,OPR,NGTL - Lone Pine South Meter Station,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Station/Facility, Metering, Delivering, Valve",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-092,Release of Substance,8/25/2010,Cobourg,Ontario,TransCanada PipeLines Limited,Closed,44.00638,-78.19719,Not Provided,Natural Gas - Sweet,Gas,No,2010,,8/24/2010 2:27,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,,Operation,Employee / Contractor (Onsite),12/6/2010,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Ball, Body",,,Carbon Steel,,,,,,0,,,,0,,,1960,,,,,,,,,,,No,Replacement,10/31/2010,No,,,No,No,10/31/2010,Replacement,No
INC2010-091,Release of Substance,8/23/2010,Williamstown,Ontario,Trans-Northern Pipelines Inc.,Closed,45.140221,-74.562991,25.1,Gasoline,Liquid,Yes,2010,,8/23/2010 9:15,"Damage or deterioration mechanism, Other Causes, Improper Operation",Incorrect Operation,"Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs","Engineering and Planning, Maintenance",,Transmission,Operation,Employee / Contractor (Onsite),2/9/2017,Yes,No,Release of Substance,Gasoline,25.1,No,Yes,,,,,,,,,,,0,OPR,Mainline,273.1,635.0188165,Refined Products-Aviation,,,,,Canada,Yes,Yes,Yes,Yes,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level III,Category C,Yes,"INC2010-029, REM-0106","Pipeline, Valve, Pressure relief, Diaphragm;Pipeline, Valve, Pressure relief, Thread",,NPS 16,Carbon Steel,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,8/17/2010,Visual,Yes,Yes,,,No
INC2010-090,Release of Substance,8/18/2010,Beiseker,Alberta,NOVA Gas Transmission Ltd.,Closed,51.32247,-113.38195,Not Provided,Natural Gas - Sweet,Gas,No,2010,,8/17/2010 12:00,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body;Substandard Conditions, Defective tools, equipment or materials","Defect and Deterioration, External Interference","Job or system factors, Inadequate purchasing, Inadequate receiving inspection and acceptance ;Job or system factors, Excessive wear and tear, Inadequate inspection and/or monitoring;Job or system factors, Inadequate maintenance, Inadequate preventive, Adjustment or assembly","Inadequate Procurement, Maintenance",,,Operation,Employee / Contractor (Onsite),8/26/2016,Yes,No,Release of Substance,Natural Gas - Sweet,,No,No,,,,,,,,,,,0,OPR,NGTL - Atusis Creek Meter Station,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-089,Release of Substance,8/16/2010,Grande Prairie,Alberta,NOVA Gas Transmission Ltd.,Closed,54.83026,-118.64722,Not Provided,Natural Gas - Sweet,Gas,No,2010,8/16/2010 11:41,8/16/2010 11:41,"Damage or deterioration mechanism, Material or Manufacturing, Defective Pipe or Component Body",Defect and Deterioration,"Job or system factors, Inadequate engineering, Inadequate standards, specifications and/or design criteria;Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,,,Operation,Employee / Contractor (Onsite),9/2/2014,Yes,No,Release of Substance,Natural Gas - Sweet,0,No,No,,,,,,,,,,,0,OPR,NGTL - Gold Creek Compressor Station,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),10 or fewer dwelling units,,Level I,Standard Review - 168 days,No,,"Station/Facility, Compression, Fitting",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-084,Release of Substance,8/3/2010,Saint John,New Brunswick,Emera Brunswick Pipeline Company Ltd.,Closed,45.26269,-65.98211,Not Provided,Natural Gas - Sweet,Gas,No,2010,,7/31/2010 10:30,"Damage or deterioration mechanism, Construction, Defective Other Joint;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Defect and Deterioration, Equipment Failure","Job or system factors, Inadequate engineering, Inadequate monitoring of construction",Engineering and Planning,,,Operation,Employee / Contractor (Onsite),9/25/2013,Yes,No,Release of Substance,Natural Gas - Sweet,,No,Yes,,,,,,,,,,,0,OPR,Emera - Red Head Metre Station,,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-079,Release of Substance,7/25/2010,Maple Creek,Ontario,TransCanada PipeLines Limited,Closed,43.87391,-79.57983,100,Natural Gas - Sweet,Gas,No,2010,,7/24/2010 9:30,"Damage or deterioration mechanism, Construction, Defective Other Joint;Substandard Acts, Failure to identify hazard or risk;Damage or deterioration mechanism, Equipment, Ancillary Equipment (See CSA Annex H, Pipeline Failure Records)","Defect and Deterioration, Equipment Failure, Incorrect Operation","Job or system factors, Inadequate engineering, Inadequate monitoring of construction;Job or system factors, Inadequate maintenance, Inadequate preventive, Lubrication and servicing","Engineering and Planning, Maintenance",,,Operation,Employee / Contractor (Onsite),9/14/2010,Yes,No,Release of Substance,Natural Gas - Sweet,100,No,No,,,,,,,,,,,0,OPR,TCPL - Station 130 (Maple Compressor Station),,,,,,,,Canada,Yes,No,No,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),,Level I,Standard Review - 168 days,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-074,Release of Substance,7/15/2010,Cochrane,Ontario,TransCanada PipeLines Limited,Closed,48.94621,-80.99467,3300,Natural Gas - Sweet,Gas,No,2010,7/10/2010 10:00,7/10/2010 10:00,"Damage or deterioration mechanism, Equipment, Valve Seals or Packing",Equipment Failure,"Job or system factors, Inadequate maintenance, Inadequate preventive, Assessment of needs",Maintenance,,,Operation,Landowner,8/1/2012,Yes,No,Release of Substance,Natural Gas - Sweet,3300,No,No,,,,,,,,,,,0,OPR,LINE 100-1,"508.00000000, 762.00000000, 863.60000000",2595.724534,Natural Gas,,,,,Canada,No,No,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mainline Valve + Offset (km),Level I,Standard Review - 168 days,No,,"Pipeline, Valve, Ball, Seal/Packing",,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,No,,,No,No,,,No
INC2010-073,Release of Substance,7/14/2010,Montreal,Quebec,Trans-Northern Pipelines Inc.,Closed,45.625209,-73.543389,Not Provided,Jet Fuel,Liquid,Yes,2010,,7/14/2010 2:20,"Substandard Acts, Failure to follow procedure or policy or practice;Damage or deterioration mechanism, Material Loss, External Material Loss, Poor Condition of External Coating, Holidays","Corrosion and Cracking, Incorrect Operation","Job or system factors, Inadequate work standards, Inadequate monitoring of compliance ",Standards and Procedures,No pipeline interruption,Transmission,Operation,Employee / Contractor (Onsite),11/7/2017,Yes,No,Release of Substance,Jet Fuel,0,No,No,,,,,,,,,,,0,OPR,MONTREAL FEEDER,273.1,1.072838,"Refined Products-Aviation, Refined Products-Distillate, Refined Products-Gasoline",,Meter,,,Canada,No,Yes,Yes,No,Unknown Land Use (Historical Data Migration),Unknown Population Density (Historical Data Migration),Mile Post 2.12,Level III,Category C,Yes,REM-0105,"Pipeline, Pipe, Body",,NPS 10,,,,,,,,,,,,,,,,,,,,External,,,,,No,Replacement,7/26/2010,No,,,No,No,,,No
